"z","y","x","ax","ay","az","gx","gy","gz","b","c"
254,2,51,0.64,-4.43,6.64,-3244.99,816.62,-1357.45,2.56,486
258,4,58,0.42,-8.83,4.21,-6332.38,494.27,-2345.99,2.56,486
260,5,62,0.18,-9.17,4.21,-5340.26,505.01,-1747.85,2.56,486
261,6,64,0.03,-9.53,4.23,-3030.09,393.98,-1468.48,2.56,486
262,6,65,2.46,-9.72,4,-257.88,429.8,-297.28,2.57,486
262,6,65,1.69,-9.7,3.77,2800.86,952.72,920.49,2.54,486
262,5,62,0.78,-9.05,4.66,5161.17,1113.9,1393.27,2.56,486
261,4,57,1.43,-9.65,4.86,7041.55,992.12,1708.45,2.56,486
259,2,52,1.04,-7.38,5.57,7804.44,934.81,2252.87,2.57,486
258,1,48,0.5,-6.65,7.05,7804.44,823.78,2947.71,2.56,486
261,0,45,6.82,-15.2,-6.06,-14545.13,17786.53,-2600.29,2.56,486
260,0,47,-1.84,-6.47,7.4,451.29,-354.58,562.32,2.56,486
260,0,48,-0.21,-6.15,8.94,-1758.6,-834.53,-1117.48,2.56,486
260,1,49,0.07,-5.69,7.9,-4720.63,-1232.09,-2542.98,2.57,486
262,3,53,1.96,-5.14,5.53,-7113.18,-1661.89,-4491.4,2.56,486
266,7,59,4.28,-6.51,4.65,-9917.62,-2102.44,-5727.08,2.56,486
270,11,66,4.15,-8.59,1.75,-11522.21,-2285.1,-6540.11,2.56,486
273,15,72,7.53,-8.02,0.44,-11880.37,-2048.71,-7181.23,2.56,486
281,21,80,3.78,-7.95,0.13,-11357.45,-1429.08,-11572.35,2.56,486
291,29,88,4.01,-8.72,-0.5,-10254.3,-1998.57,-11694.13,2.56,487
299,36,95,-1.22,-7.24,-1.57,-8638.97,-2915.47,-7768.62,2.56,487
303,38,101,1.32,-6.83,-0.49,-7091.69,-4015.04,-2191.98,2.57,487
305,39,107,6.21,-11.33,0.13,-5343.84,-3499.28,-1561.6,2.56,487
305,38,111,6.83,-13.6,-2.65,-2700.57,-2446.28,1937.68,2.56,487
303,36,111,16.25,-19.96,-7.02,1332.38,-623.21,3853.87,2.56,487
299,33,108,0.07,-5.59,-6.2,4151.15,784.38,5662.61,2.57,487
295,31,105,7.13,-4.45,-3.86,3993.55,945.56,616.05,2.56,487
295,32,103,4.65,-2.32,-0.38,487.11,404.73,-2510.74,2.56,487
298,34,106,1.74,-4.42,0,-3638.97,-1690.54,-2274.36,2.56,487
299,34,109,2.28,-5.81,-1.36,-5580.23,-3212.75,-1604.58,2.57,487
300,34,114,4.91,-7.13,-1.74,-5526.5,-3681.95,325.93,2.56,487
300,33,119,5.96,-8.47,-2.35,-3585.24,-2739.97,490.69,2.56,487
300,33,120,6.56,-8.49,-2.17,-290.11,-576.65,-1543.7,2.56,487
300,33,120,8.78,-9.18,-3.89,2532.23,981.38,1636.82,2.56,487
298,32,117,8.09,-8.6,-4.73,3957.74,2374.64,1808.74,2.56,487
298,32,112,6.75,-6.52,-3.04,3936.25,3277.22,304.44,2.56,487
299,34,109,2.39,-5.5,-1.31,1826.65,2743.55,-641.12,2.56,487
300,34,108,2.14,-6.56,-1.62,-146.85,1063.75,401.15,2.57,487
299,34,108,3.08,-7.78,-2.33,-673.35,204.15,207.74,2.56,487
298,33,109,5.69,-9.47,-4.29,-415.47,-533.67,1335.96,2.56,487
297,32,109,7.1,-10.06,-5.63,436.96,-383.24,795.13,2.56,487
296,32,108,6.69,-7.62,-3.97,956.3,93.12,-483.52,2.56,487
296,33,108,3.55,-5.69,-1.28,630.37,379.66,-1525.79,2.56,487
297,33,108,3.46,-5.02,0.47,-161.17,193.41,-300.86,2.56,487
297,33,108,3.93,-5.87,0.7,-236.39,222.06,1142.55,2.56,487
296,33,107,2.7,-5.55,0.72,1160.46,1049.43,-225.64,2.56,488
295,33,106,1.71,-6.18,0.54,2621.78,1153.3,1812.32,2.56,488
292,31,102,4.31,-6.91,-0.54,4928.37,1196.28,4025.79,2.56,488
288,28,97,3.18,-8.75,-1.58,6987.82,1991.4,3352.44,2.56,488
284,26,92,5.2,-10.44,-1.24,8735.67,2163.32,4982.09,2.56,488
280,23,85,1.91,-11.89,-0.83,9566.62,2532.23,4942.69,2.56,488
274,19,78,1.73,-10.9,1.18,10089.54,1568.77,6697.71,2.56,488
269,14,72,10.72,-10.05,3.68,10325.93,361.75,6694.13,2.56,488
266,11,67,4.87,-11.8,4.41,8449.14,2378.22,2589.54,2.56,488
264,8,61,-0.7,-9.99,4.09,7818.77,1751.43,5250.72,2.56,488
261,5,57,-1.74,-9.03,3.98,6858.88,1278.65,3921.92,2.56,488
258,2,52,1.7,-4.7,6.95,6095.99,641.12,3202.01,2.56,488
257,1,50,0.97,-7.37,8.03,4344.56,616.05,3359.6,2.56,488
257,1,47,-11.07,-38.89,12.05,-1321.63,300.86,-2274.36,2.56,488
256,0,48,-1.56,-12.16,4.31,-32.23,540.83,-419.05,2.56,488
256,0,48,-3.69,-6.14,11.59,-419.05,265.04,-1325.21,2.54,488
256,0,49,2.48,-5.5,7.34,-2474.93,-827.36,-1307.31,2.56,488
258,2,52,0.31,-4.81,7.41,-5841.69,-927.65,-3284.38,2.57,488
261,5,58,-1.22,-8.03,4.65,-9459.17,-1719.2,-6081.66,2.56,488
265,10,65,5.03,-8.74,0.91,-11952.01,-2711.32,-7808.02,2.57,488
270,15,71,4.78,-7.7,-0.86,-12947.71,-3334.53,-10723.5,2.56,488
279,23,80,2.63,-8.76,-2.54,-12936.96,-4043.7,-13069.48,2.56,488
289,33,90,0.99,-9.95,-3.65,-11797.99,-5798.71,-12102.44,2.56,488
295,38,101,5.53,-8.39,-1.89,-9724.21,-7507.16,-6740.69,2.56,488
298,40,109,4.59,-4.51,-0.88,-6515.04,-6364.61,-9251.43,2.56,488
302,42,118,10.69,-8.04,0.22,-4917.62,-6035.1,-3223.5,2.56,488
300,40,121,12.28,-9.25,-2.13,-2163.32,-2747.13,3202.01,2.56,488
297,38,120,4.12,-6.84,-1.3,1067.34,709.17,4774.36,2.56,489
294,36,118,3.25,-6.05,-5.09,2199.14,730.66,5272.21,2.56,489
291,33,115,5.88,-6.04,-3.88,2159.74,1088.83,2037.97,2.56,489
290,33,114,6.4,-4.85,-2.37,275.79,759.31,286.53,2.56,489
292,34,115,6.08,-6,-3.4,-1558.02,537.25,-1232.09,2.56,489
297,35,118,4.44,-7.91,-4.13,336.68,3.58,555.16,2.56,489
296,35,118,5.3,-7.3,-3.41,845.27,-236.39,637.54,2.56,489
293,34,116,5.76,-6.98,-3.19,325.93,-540.83,60.89,2.56,489
293,33,116,4.93,-6.84,-2.86,50.14,-598.14,-21.49,2.56,489
291,33,117,6.31,-7.21,-4.33,-132.52,-623.21,-96.7,2.56,489
291,33,117,6.25,-7.08,-4.38,-28.65,-544.41,-408.31,2.56,489
291,33,118,4.87,-6.01,-3.35,-35.82,-633.95,-651.86,2.56,489
290,33,118,4.64,-6.89,-4.55,-415.47,-1257.16,-42.98,2.56,489
289,32,119,6.63,-5.41,-7.39,-791.55,-1962.75,-530.09,2.56,489
289,32,121,4.78,-3.65,-8.86,-1833.81,-2800.86,-2174.07,2.56,489
