z,y,x,ax,ay,az,gx,gy,gz,b,c
258,-1,41,-0.31,-38.86,11.10,-22310.17,8467.05,-5952.72,2.57,253
260,-1,45,3.18,-6.61,8.10,-691.26,322.35,-2281.52,2.56,253
260,-2,45,1.68,-6.18,6.98,-7.16,60.89,-146.85,2.57,253
260,-1,45,-0.20,-7.27,6.81,-100.29,351.00,-411.89,2.56,253
261,-1,45,-0.01,-6.11,6.98,-39.40,225.64,89.54,2.56,253
261,-2,45,-1.01,-6.86,6.77,-143.27,214.90,265.04,2.57,253
261,-2,45,-0.23,-6.09,6.96,-82.38,146.85,-236.39,2.56,253
261,-2,45,-0.43,-6.70,6.88,-222.06,50.14,-171.92,2.56,253
261,-2,45,0.92,-6.80,6.94,-154.01,85.96,-547.99,2.56,253
261,-1,45,-0.50,-6.97,6.79,-196.99,118.19,175.50,2.56,253
261,-2,45,-0.76,-7.31,6.75,-189.83,32.23,-14.33,2.56,253
261,-1,45,-0.55,-7.08,6.77,-68.05,0.00,-186.25,2.56,253
262,-1,45,0.91,-5.86,7.04,-53.72,-35.82,-114.61,2.57,253
262,-2,45,-1.36,-8.37,6.77,594.56,325.93,0.00,2.56,253
262,-1,45,-2.67,-3.29,9.80,175.50,-598.14,630.37,2.57,253
266,7,59,3.06,-9.82,4.45,-6439.83,-1457.74,-5239.97,2.55,253
269,9,63,1.90,-8.59,5.10,-6762.18,-1436.25,-5830.95,2.56,254
273,14,67,1.19,-7.86,4.83,-7449.86,-1729.94,-5952.72,2.56,254
277,18,73,2.99,-6.70,3.26,-8019.34,-2199.14,-6300.14,2.57,254
284,24,78,4.29,-5.69,1.65,-7976.36,-2127.51,-9849.57,2.57,254
290,29,82,2.27,-5.79,0.13,-7800.86,-2449.86,-10619.63,2.57,254
297,36,88,2.77,-4.58,-0.91,-7217.05,-3144.70,-9473.50,2.56,254
304,41,95,4.47,-2.02,-0.65,-6486.39,-3341.69,-7106.02,2.56,254
308,44,100,9.95,-7.96,-1.06,-5762.89,-2768.62,-3377.51,2.57,254
311,45,105,9.89,-7.34,-1.60,-4075.93,-1053.01,-2374.64,2.56,254
315,47,107,10.93,-11.19,-0.90,-1439.83,712.75,-1436.25,2.56,254
313,45,105,5.83,-11.65,-1.56,1475.64,1898.28,5508.60,2.56,254
308,41,102,7.09,-7.90,-3.17,2496.42,522.92,9641.83,2.57,254
303,37,99,7.71,-4.46,-1.27,2754.30,906.16,3330.95,2.56,254
